"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000154045.1_ASM15404v1","GCF_000182385.1_ASM18238v1"
"benM","","HTH-type transcriptional regulator BenM","2","2","1","521","297","","","","905","905","905","GCF_000154045.1_ASM15404v1_00400","GCF_000182385.1_ASM18238v1_02899"
"group_5642","","hypothetical protein","2","2","1","524","1015","","","","1307","1307","1307","GCF_000154045.1_ASM15404v1_01470","GCF_000182385.1_ASM18238v1_00443"
"gcvA_2","","Glycine cleavage system transcriptional activator","2","2","1","524","432","","","","869","869","869","GCF_000154045.1_ASM15404v1_01146","GCF_000182385.1_ASM18238v1_01011"
"modF","","ABC transporter ATP-binding protein ModF","2","2","1","523","230","","","","1454","1454","1454","GCF_000154045.1_ASM15404v1_02130","GCF_000182385.1_ASM18238v1_03377"
"group_5645","","hypothetical protein","2","2","1","523","787","","","","638","638","638","GCF_000154045.1_ASM15404v1_04826","GCF_000182385.1_ASM18238v1_02379"
"rpmE2","","50S ribosomal protein L31 type B","2","2","1","522","384","","","","260","260","260","GCF_000154045.1_ASM15404v1_04189","GCF_000182385.1_ASM18238v1_04206"
"luxM","","Acyl-homoserine-lactone synthase LuxM","2","2","1","514","50","","","","1181","1181","1181","GCF_000154045.1_ASM15404v1_03702","GCF_000182385.1_ASM18238v1_03750"
"ctaE","","Cytochrome c oxidase subunit 3","2","2","1","523","175","","","","884","884","884","GCF_000154045.1_ASM15404v1_02184","GCF_000182385.1_ASM18238v1_03322"
"ubiH","","2-octaprenyl-6-methoxyphenol hydroxylase","2","2","1","516","83","","","","1178","1178","1178","GCF_000154045.1_ASM15404v1_03995","GCF_000182385.1_ASM18238v1_02005"
"group_565","","hypothetical protein","2","2","1","523","139","","","","341","341","341","GCF_000154045.1_ASM15404v1_02220","GCF_000182385.1_ASM18238v1_03284"
"group_5650","","Isoleucine 2-epimerase","2","2","1","524","445","","","","1379","1379","1379","GCF_000154045.1_ASM15404v1_01133","GCF_000182385.1_ASM18238v1_00998"
"hslU","","ATP-dependent protease ATPase subunit HslU","2","2","1","521","198","","","","1331","1331","1331","GCF_000154045.1_ASM15404v1_04031","GCF_000182385.1_ASM18238v1_03094"
"group_5652","","hypothetical protein","2","2","1","524","515","","","","830","830","830","GCF_000154045.1_ASM15404v1_03257","GCF_000182385.1_ASM18238v1_00925"
"modC","","Molybdenum import ATP-binding protein ModC","2","2","1","524","1277","","","","1106","1106","1106","GCF_000154045.1_ASM15404v1_02612","GCF_000182385.1_ASM18238v1_02759"
"group_5654","","hypothetical protein","2","2","1","523","783","","","","1124","1124","1124","GCF_000154045.1_ASM15404v1_04822","GCF_000182385.1_ASM18238v1_02383"
"cpdB","","2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase","2","2","1","521","156","","","","1961","1961","1961","GCF_000154045.1_ASM15404v1_04968","GCF_000182385.1_ASM18238v1_03134"
"group_5656","","hypothetical protein","2","2","1","514","9","","","","239","239","239","GCF_000154045.1_ASM15404v1_03748","GCF_000182385.1_ASM18238v1_00075"
"group_5657","","hypothetical protein","2","2","1","520","243","","","","278","278","278","GCF_000154045.1_ASM15404v1_03772","GCF_000182385.1_ASM18238v1_01396"
"lolE","","Lipoprotein-releasing system transmembrane protein LolE","2","2","1","519","191","","","","1244","1244","1244","GCF_000154045.1_ASM15404v1_04364","GCF_000182385.1_ASM18238v1_03844"
"ygiC","","Putative acid--amine ligase YgiC","2","2","1","519","275","","","","1166","1166","1166","GCF_000154045.1_ASM15404v1_03060","GCF_000182385.1_ASM18238v1_03929"
"group_566","","hypothetical protein","2","2","1","523","135","","","","791","791","791","GCF_000154045.1_ASM15404v1_02224","GCF_000182385.1_ASM18238v1_03280"
"group_5660","","hypothetical protein","2","2","1","524","1104","","","","1106","1106","1106","GCF_000154045.1_ASM15404v1_01562","GCF_000182385.1_ASM18238v1_00353"
"mtgA","","Biosynthetic peptidoglycan transglycosylase","2","2","1","524","815","","","","677","677","677","GCF_000154045.1_ASM15404v1_03567","GCF_000182385.1_ASM18238v1_00639"
"group_5662","","hypothetical protein","2","2","1","521","131","","","","1550","1550","1550","GCF_000154045.1_ASM15404v1_04993","GCF_000182385.1_ASM18238v1_03159"
"dsbA_1","","Thiol:disulfide interchange protein DsbA","2","2","1","524","1184","","","","599","599","599","GCF_000154045.1_ASM15404v1_01638","GCF_000182385.1_ASM18238v1_00304"
"group_5664","","hypothetical protein","2","2","1","522","333","","","","974","974","974","GCF_000154045.1_ASM15404v1_04236","GCF_000182385.1_ASM18238v1_04159"
"group_5665","","hypothetical protein","2","2","1","524","1246","","","","464","464","464","GCF_000154045.1_ASM15404v1_01699","GCF_000182385.1_ASM18238v1_00224"
"recC","","RecBCD enzyme subunit RecC","2","2","1","522","335","","","","3491","3491","3491","GCF_000154045.1_ASM15404v1_04234","GCF_000182385.1_ASM18238v1_04161"
"group_5667","","hypothetical protein","2","2","1","524","913","","","","695","695","695","GCF_000154045.1_ASM15404v1_01369","GCF_000182385.1_ASM18238v1_00545"
"group_5668","","hypothetical protein","2","2","1","521","349","","","","542","542","542","GCF_000154045.1_ASM15404v1_04132","GCF_000182385.1_ASM18238v1_02952"
"group_5669","","hypothetical protein","2","2","1","524","588","","","","584","584","584","GCF_000154045.1_ASM15404v1_02659","GCF_000182385.1_ASM18238v1_00850"
"group_567","","hypothetical protein","2","2","1","523","126","","","","419","422","420","GCF_000154045.1_ASM15404v1_02233","GCF_000182385.1_ASM18238v1_03271"
"group_5670","","hypothetical protein","2","2","1","517","132","","","","1688","1712","1700","GCF_000154045.1_ASM15404v1_04378","GCF_000182385.1_ASM18238v1_04323"
"group_5671","","hypothetical protein","2","2","1","523","660","","","","203","203","203","GCF_000154045.1_ASM15404v1_04718","GCF_000182385.1_ASM18238v1_03685"
"ybhK","","Putative gluconeogenesis factor","2","2","1","513","31","","","","893","893","893","GCF_000154045.1_ASM15404v1_02368","GCF_000182385.1_ASM18238v1_01425"
"group_5673","","hypothetical protein","2","2","1","522","377","","","","2546","2546","2546","GCF_000154045.1_ASM15404v1_04196","GCF_000182385.1_ASM18238v1_04199"
"mtlA_2","","PTS system mannitol-specific EIICB component","2","2","1","523","142","","","","1424","1427","1425","GCF_000154045.1_ASM15404v1_02217","GCF_000182385.1_ASM18238v1_03287"
"group_5675","","hypothetical protein","2","2","1","517","74","","","","212","212","212","GCF_000154045.1_ASM15404v1_03655","GCF_000182385.1_ASM18238v1_04349"
"smc_1","","Chromosome partition protein Smc","2","2","1","524","1365","","","","3056","3056","3056","GCF_000154045.1_ASM15404v1_01860","GCF_000182385.1_ASM18238v1_01717"
"group_5677","","hypothetical protein","2","2","1","524","1102","","","","437","437","437","GCF_000154045.1_ASM15404v1_01560","GCF_000182385.1_ASM18238v1_00355"
"maa_2","","Maltose O-acetyltransferase","2","2","1","524","470","","","","554","554","554","GCF_000154045.1_ASM15404v1_03302","GCF_000182385.1_ASM18238v1_00973"
"phrA","","Deoxyribodipyrimidine photo-lyase","2","2","1","524","957","","","","1415","1415","1415","GCF_000154045.1_ASM15404v1_01412","GCF_000182385.1_ASM18238v1_00502"
"group_568","hmp_1","Flavohemoprotein","2","2","1","523","121","","","","1199","1322","1260","GCF_000154045.1_ASM15404v1_02238","GCF_000182385.1_ASM18238v1_03266"
"ydaF_1","","Putative ribosomal N-acetyltransferase YdaF","2","2","1","524","705","","","","530","530","530","GCF_000154045.1_ASM15404v1_00263","GCF_000182385.1_ASM18238v1_00739"
"group_5681","","hypothetical protein","2","2","1","524","963","","","","2306","2306","2306","GCF_000154045.1_ASM15404v1_01418","GCF_000182385.1_ASM18238v1_00496"
"group_5682","","IS4 family transposase ISVsa5","2","2","1","524","1100","","","","272","275","273","GCF_000154045.1_ASM15404v1_01557","GCF_000182385.1_ASM18238v1_00357"
"moeB","","Molybdopterin-synthase adenylyltransferase","2","2","1","524","1511","","","","749","749","749","GCF_000154045.1_ASM15404v1_01716","GCF_000182385.1_ASM18238v1_00206"
"licH_1","","putative 6-phospho-beta-glucosidase","2","2","1","524","737","","","","1313","1313","1313","GCF_000154045.1_ASM15404v1_02799","GCF_000182385.1_ASM18238v1_00711"
"menE_2","","2-succinylbenzoate--CoA ligase","2","2","1","517","86","","","","1442","1442","1442","GCF_000154045.1_ASM15404v1_04109","GCF_000182385.1_ASM18238v1_02605"
"hxuC","","Heme/hemopexin utilization protein C","2","2","1","524","962","","","","2138","2138","2138","GCF_000154045.1_ASM15404v1_01417","GCF_000182385.1_ASM18238v1_00497"
"ebgA","","Evolved beta-galactosidase subunit alpha","2","2","1","522","309","","","","3098","3098","3098","GCF_000154045.1_ASM15404v1_04259","GCF_000182385.1_ASM18238v1_04135"
"selO","","Protein adenylyltransferase SelO","2","2","1","512","18","","","","1469","1469","1469","GCF_000154045.1_ASM15404v1_02747","GCF_000182385.1_ASM18238v1_01472"
"group_5689","","hypothetical protein","2","2","1","524","1043","","","","263","263","263","GCF_000154045.1_ASM15404v1_01498","GCF_000182385.1_ASM18238v1_00415"
"lipA","","Lipoyl synthase","2","2","1","509","5","","","","911","965","938","GCF_000154045.1_ASM15404v1_02253","GCF_000182385.1_ASM18238v1_04551"
"rhaS_6","","HTH-type transcriptional activator RhaS","2","2","1","523","240","","","","803","803","803","GCF_000154045.1_ASM15404v1_02119","GCF_000182385.1_ASM18238v1_03388"
"group_5691","","hypothetical protein","2","2","1","524","1228","","","","266","266","266","GCF_000154045.1_ASM15404v1_01682","GCF_000182385.1_ASM18238v1_00242"
"acpH","","Acyl carrier protein phosphodiesterase","2","2","1","523","468","","","","596","596","596","GCF_000154045.1_ASM15404v1_05066","GCF_000182385.1_ASM18238v1_03613"
"group_5693","","hypothetical protein","2","2","1","521","162","","","","479","479","479","GCF_000154045.1_ASM15404v1_01990","GCF_000182385.1_ASM18238v1_03128"
"treA","","Trehalose-6-phosphate hydrolase","2","2","1","509","10","","","","1685","1685","1685","GCF_000154045.1_ASM15404v1_03330","GCF_000182385.1_ASM18238v1_04556"
"sspA_2","","Stringent starvation protein A","2","2","1","523","278","","","","647","647","647","GCF_000154045.1_ASM15404v1_04550","GCF_000182385.1_ASM18238v1_03424"
"group_5696","","hypothetical protein","2","2","1","521","340","","","","488","488","488","GCF_000154045.1_ASM15404v1_04141","GCF_000182385.1_ASM18238v1_02943"
"uxuA","","Mannonate dehydratase","2","2","1","524","730","","","","1187","1187","1187","GCF_000154045.1_ASM15404v1_02421","GCF_000182385.1_ASM18238v1_00716"
"yidZ_3","","HTH-type transcriptional regulator YidZ","2","2","1","524","430","","","","875","875","875","GCF_000154045.1_ASM15404v1_01148","GCF_000182385.1_ASM18238v1_01013"
"group_5699","","hypothetical protein","2","2","1","521","419","","","","935","935","935","GCF_000154045.1_ASM15404v1_01968","GCF_000182385.1_ASM18238v1_03018"
"glyA","","Serine hydroxymethyltransferase","2","2","1","509","6","","","","650","1250","950","GCF_000154045.1_ASM15404v1_02254","GCF_000182385.1_ASM18238v1_04552"
"group_5700","","hypothetical protein","2","2","1","523","351","","","","443","443","443","GCF_000154045.1_ASM15404v1_05182","GCF_000182385.1_ASM18238v1_03494"
"group_5701","","hypothetical protein","2","2","1","517","41","","","","272","272","272","GCF_000154045.1_ASM15404v1_00711","GCF_000182385.1_ASM18238v1_01489"
"oadG","","oxaloacetate decarboxylase gamma chain","2","2","1","524","153","","","","257","257","257","GCF_000154045.1_ASM15404v1_01951","GCF_000182385.1_ASM18238v1_01828"
"nemA_1","","N-ethylmaleimide reductase","2","2","1","524","308","","","","1124","1124","1124","GCF_000154045.1_ASM15404v1_01268","GCF_000182385.1_ASM18238v1_01137"
"group_5704","","hypothetical protein","2","2","1","524","1218","","","","1037","1037","1037","GCF_000154045.1_ASM15404v1_01672","GCF_000182385.1_ASM18238v1_00252"
"group_5705","","hypothetical protein","2","2","1","522","457","","","","434","434","434","GCF_000154045.1_ASM15404v1_03859","GCF_000182385.1_ASM18238v1_02045"
"nagE_1","","PTS system N-acetylglucosamine-specific EIICBA component","2","2","1","524","806","","","","296","296","296","GCF_000154045.1_ASM15404v1_03576","GCF_000182385.1_ASM18238v1_00648"
"group_5707","","hypothetical protein","2","2","1","523","384","","","","1367","1367","1367","GCF_000154045.1_ASM15404v1_05150","GCF_000182385.1_ASM18238v1_03526"
"yeeZ","","Protein YeeZ","2","2","1","519","99","","","","827","827","827","GCF_000154045.1_ASM15404v1_01999","GCF_000182385.1_ASM18238v1_04015"
"group_5709","","hypothetical protein","2","2","1","521","279","","","","1004","1004","1004","GCF_000154045.1_ASM15404v1_04748","GCF_000182385.1_ASM18238v1_02882"
"group_571","","hypothetical protein","2","2","1","516","53","","","","473","557","515","GCF_000154045.1_ASM15404v1_02282","GCF_000182385.1_ASM18238v1_01976"
"hdfR_3","","HTH-type transcriptional regulator HdfR","2","2","1","524","305","","","","911","911","911","GCF_000154045.1_ASM15404v1_01271","GCF_000182385.1_ASM18238v1_01140"
"dtd3","","D-aminoacyl-tRNA deacylase","2","2","1","521","254","","","","761","761","761","GCF_000154045.1_ASM15404v1_03104","GCF_000182385.1_ASM18238v1_02934"
"yqhD","","Alcohol dehydrogenase YqhD","2","2","1","523","456","","","","1148","1148","1148","GCF_000154045.1_ASM15404v1_05078","GCF_000182385.1_ASM18238v1_03599"
"cyoC","","Cytochrome bo(3) ubiquinol oxidase subunit 3","2","2","1","523","263","","","","602","602","602","GCF_000154045.1_ASM15404v1_04532","GCF_000182385.1_ASM18238v1_03411"
"group_5714","","hypothetical protein","2","2","1","524","1182","","","","296","296","296","GCF_000154045.1_ASM15404v1_01636","GCF_000182385.1_ASM18238v1_00306"
"slyA_3","","Transcriptional regulator SlyA","2","2","1","519","300","","","","452","452","452","GCF_000154045.1_ASM15404v1_03086","GCF_000182385.1_ASM18238v1_03957"
"group_5716","","hypothetical protein","2","2","1","523","418","","","","1004","1004","1004","GCF_000154045.1_ASM15404v1_05116","GCF_000182385.1_ASM18238v1_03561"
"group_5717","","hypothetical protein","2","2","1","519","163","","","","3044","3044","3044","GCF_000154045.1_ASM15404v1_02501","GCF_000182385.1_ASM18238v1_03817"
"group_5718","","hypothetical protein","2","2","1","521","62","","","","272","275","273","GCF_000154045.1_ASM15404v1_05352","GCF_000182385.1_ASM18238v1_03217"
"group_5719","","hypothetical protein","2","2","1","524","923","","","","497","497","497","GCF_000154045.1_ASM15404v1_01379","GCF_000182385.1_ASM18238v1_00535"
"rplB","","50S ribosomal protein L2","2","2","1","521","186","","","","284","824","554","GCF_000154045.1_ASM15404v1_02309","GCF_000182385.1_ASM18238v1_03104"
"btuE","","Thioredoxin/glutathione peroxidase BtuE","2","2","1","524","1187","","","","545","545","545","GCF_000154045.1_ASM15404v1_01641","GCF_000182385.1_ASM18238v1_00284"
"group_5721","cysG_3","Siroheme synthase","2","2","1","521","155","","","","875","875","875","GCF_000154045.1_ASM15404v1_04969","GCF_000182385.1_ASM18238v1_03135"
"group_5722","","hypothetical protein","2","2","1","524","875","","","","287","287","287","GCF_000154045.1_ASM15404v1_01329","GCF_000182385.1_ASM18238v1_00583"
"group_5723","","hypothetical protein","2","2","1","523","286","","","","473","473","473","GCF_000154045.1_ASM15404v1_04558","GCF_000182385.1_ASM18238v1_03432"
"group_5724","","hypothetical protein","2","2","1","524","397","","","","464","470","467","GCF_000154045.1_ASM15404v1_01180","GCF_000182385.1_ASM18238v1_01045"
"group_5725","","hypothetical protein","2","2","1","523","247","","","","551","551","551","GCF_000154045.1_ASM15404v1_04515","GCF_000182385.1_ASM18238v1_03396"
"group_5726","","hypothetical protein","2","2","1","524","343","","","","818","818","818","GCF_000154045.1_ASM15404v1_01234","GCF_000182385.1_ASM18238v1_01101"
"sasA_1","","Adaptive-response sensory-kinase SasA","2","2","1","524","915","","","","1373","1373","1373","GCF_000154045.1_ASM15404v1_01371","GCF_000182385.1_ASM18238v1_00543"
"group_5728","","Methylmalonyl-CoA carboxyltransferase 12S subunit","2","2","1","524","1466","","","","1607","1607","1607","GCF_000154045.1_ASM15404v1_01759","GCF_000182385.1_ASM18238v1_00163"
"group_5729","","hypothetical protein","2","2","1","523","226","","","","3020","3020","3020","GCF_000154045.1_ASM15404v1_02134","GCF_000182385.1_ASM18238v1_03373"
"rpsC","","30S ribosomal protein S3","2","2","1","521","183","","","","698","722","710","GCF_000154045.1_ASM15404v1_02312","GCF_000182385.1_ASM18238v1_03107"
"group_5730","","hypothetical protein","2","2","1","524","1261","","","","452","452","452","GCF_000154045.1_ASM15404v1_01714","GCF_000182385.1_ASM18238v1_00208"
"cpoB","","Cell division coordinator CpoB","2","2","1","519","269","","","","755","755","755","GCF_000154045.1_ASM15404v1_03055","GCF_000182385.1_ASM18238v1_03924"
"nfo","","Endonuclease 4","2","2","1","518","165","","","","887","887","887","GCF_000154045.1_ASM15404v1_03362","GCF_000182385.1_ASM18238v1_04601"
"group_5733","","hypothetical protein","2","2","1","524","858","","","","2174","2174","2174","GCF_000154045.1_ASM15404v1_01315","GCF_000182385.1_ASM18238v1_00601"
"tag","","DNA-3-methyladenine glycosylase 1","2","2","1","519","74","","","","566","566","566","GCF_000154045.1_ASM15404v1_02024","GCF_000182385.1_ASM18238v1_04041"
"thiK","","Thiamine kinase","2","2","1","519","182","","","","881","881","881","GCF_000154045.1_ASM15404v1_04373","GCF_000182385.1_ASM18238v1_03835"
"ctaG","","Cytochrome c oxidase assembly protein CtaG","2","2","1","523","174","","","","539","539","539","GCF_000154045.1_ASM15404v1_02185","GCF_000182385.1_ASM18238v1_03321"
"cobP","","Bifunctional adenosylcobalamin biosynthesis protein CobP","2","2","1","523","55","","","","533","533","533","GCF_000154045.1_ASM15404v1_04938","GCF_000182385.1_ASM18238v1_02231"
"eltD_1","","Erythritol/L-threitol dehydrogenase","2","2","1","524","309","","","","1058","1058","1058","GCF_000154045.1_ASM15404v1_01267","GCF_000182385.1_ASM18238v1_01136"
"group_5739","","hypothetical protein","2","2","1","520","91","","","","1550","1550","1550","GCF_000154045.1_ASM15404v1_01072","GCF_000182385.1_ASM18238v1_04400"
"trmO","","tRNA (adenine(37)-N6)-methyltransferase","2","2","1","522","383","","","","695","695","695","GCF_000154045.1_ASM15404v1_04190","GCF_000182385.1_ASM18238v1_04205"
"moaE","","Molybdopterin synthase catalytic subunit","2","2","1","513","36","","","","455","455","455","GCF_000154045.1_ASM15404v1_02363","GCF_000182385.1_ASM18238v1_01430"
"dmsD","","Tat proofreading chaperone DmsD","2","2","1","523","795","","","","611","611","611","GCF_000154045.1_ASM15404v1_04834","GCF_000182385.1_ASM18238v1_02371"
"group_5743","","hypothetical protein","2","2","1","521","274","","","","278","278","278","GCF_000154045.1_ASM15404v1_04753","GCF_000182385.1_ASM18238v1_02877"
"acdA_1","","Acyl-CoA dehydrogenase","2","2","1","524","1461","","","","1154","1154","1154","GCF_000154045.1_ASM15404v1_01764","GCF_000182385.1_ASM18238v1_00158"
"ttrS_2","","Tetrathionate sensor histidine kinase TtrS","2","2","1","514","22","","","","1835","1835","1835","GCF_000154045.1_ASM15404v1_03737","GCF_000182385.1_ASM18238v1_03709"
"mdtG","","Multidrug resistance protein MdtG","2","2","1","524","773","","","","1205","1205","1205","GCF_000154045.1_ASM15404v1_02717","GCF_000182385.1_ASM18238v1_00679"
"group_5747","","hypothetical protein","2","2","1","524","1293","","","","419","419","419","GCF_000154045.1_ASM15404v1_02596","GCF_000182385.1_ASM18238v1_01805"
"group_5748","","hypothetical protein","2","2","1","524","1010","","","","617","617","617","GCF_000154045.1_ASM15404v1_01465","GCF_000182385.1_ASM18238v1_00448"
"cynR_1","","HTH-type transcriptional regulator CynR","2","2","1","524","356","","","","881","881","881","GCF_000154045.1_ASM15404v1_01221","GCF_000182385.1_ASM18238v1_01089"
"outO","","Type 4 prepilin-like proteins leader peptide-processing enzyme","2","2","1","524","172","","","","869","869","869","GCF_000154045.1_ASM15404v1_01932","GCF_000182385.1_ASM18238v1_01847"
"group_5751","","hypothetical protein","2","2","1","519","202","","","","668","668","668","GCF_000154045.1_ASM15404v1_04353","GCF_000182385.1_ASM18238v1_03855"
"group_5752","","hypothetical protein","2","2","1","522","516","","","","263","263","263","GCF_000154045.1_ASM15404v1_03800","GCF_000182385.1_ASM18238v1_02104"
"group_5753","","hypothetical protein","2","2","1","523","196","","","","2000","2000","2000","GCF_000154045.1_ASM15404v1_02163","GCF_000182385.1_ASM18238v1_03343"
"yafP","","putative N-acetyltransferase YafP","2","2","1","523","831","","","","476","476","476","GCF_000154045.1_ASM15404v1_04870","GCF_000182385.1_ASM18238v1_02299"
"group_5755","","Thermostable carboxypeptidase 1","2","2","1","520","195","","","","1472","1472","1472","GCF_000154045.1_ASM15404v1_00970","GCF_000182385.1_ASM18238v1_01227"
"group_5756","","hypothetical protein","2","2","1","522","224","","","","755","755","755","GCF_000154045.1_ASM15404v1_05022","GCF_000182385.1_ASM18238v1_02692"
"ccpA","","Cytochrome c551 peroxidase","2","2","1","524","1442","","","","962","962","962","GCF_000154045.1_ASM15404v1_01783","GCF_000182385.1_ASM18238v1_00140"
"group_5758","","hypothetical protein","2","2","1","523","287","","","","461","461","461","GCF_000154045.1_ASM15404v1_04559","GCF_000182385.1_ASM18238v1_03433"
"group_5759","","hypothetical protein","2","2","1","523","727","","","","899","899","899","GCF_000154045.1_ASM15404v1_05323","GCF_000182385.1_ASM18238v1_02439"
"cadA","","Inducible lysine decarboxylase","2","2","1","511","12","","","","1472","2135","1803","GCF_000154045.1_ASM15404v1_02333","GCF_000182385.1_ASM18238v1_02789"
"group_5760","","hypothetical protein","2","2","1","522","405","","","","566","572","569","GCF_000154045.1_ASM15404v1_04172","GCF_000182385.1_ASM18238v1_04227"
"group_5761","","hypothetical protein","2","2","1","520","345","","","","284","284","284","GCF_000154045.1_ASM15404v1_00900","GCF_000182385.1_ASM18238v1_01309"
"cntO_2","","Metal-pseudopaline receptor CntO","2","2","1","524","524","","","","2093","2093","2093","GCF_000154045.1_ASM15404v1_03248","GCF_000182385.1_ASM18238v1_00916"
"trpA","","Tryptophan synthase alpha chain","2","2","1","514","46","","","","806","806","806","GCF_000154045.1_ASM15404v1_00733","GCF_000182385.1_ASM18238v1_03754"
"macB_4","","Macrolide export ATP-binding/permease protein MacB","2","2","1","514","79","","","","1283","1283","1283","GCF_000154045.1_ASM15404v1_03723","GCF_000182385.1_ASM18238v1_03723"
"surE","","5'-nucleotidase SurE","2","2","1","516","115","","","","776","776","776","GCF_000154045.1_ASM15404v1_04604","GCF_000182385.1_ASM18238v1_02033"
"group_5768","","hypothetical protein","2","2","1","524","1222","","","","623","623","623","GCF_000154045.1_ASM15404v1_01676","GCF_000182385.1_ASM18238v1_00248"
"uxaC","","Uronate isomerase","2","2","1","524","724","","","","1412","1412","1412","GCF_000154045.1_ASM15404v1_02427","GCF_000182385.1_ASM18238v1_00722"
"dxs","","1-deoxy-D-xylulose-5-phosphate synthase","2","2","1","518","44","","","","1292","1865","1578","GCF_000154045.1_ASM15404v1_02339","GCF_000182385.1_ASM18238v1_04792"
"ampD","","1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD","2","2","1","524","177","","","","551","551","551","GCF_000154045.1_ASM15404v1_01927","GCF_000182385.1_ASM18238v1_01852"
"group_5771","","hypothetical protein","2","2","1","524","901","","","","1037","1037","1037","GCF_000154045.1_ASM15404v1_01356","GCF_000182385.1_ASM18238v1_00557"
"group_5772","","hypothetical protein","2","2","1","523","299","","","","281","281","281","GCF_000154045.1_ASM15404v1_05235","GCF_000182385.1_ASM18238v1_03443"
"tyrA_2","","T-protein","2","2","1","518","212","","","","1127","1127","1127","GCF_000154045.1_ASM15404v1_02915","GCF_000182385.1_ASM18238v1_04647"
"group_5774","","hypothetical protein","2","2","1","524","713","","","","707","707","707","GCF_000154045.1_ASM15404v1_00548","GCF_000182385.1_ASM18238v1_00732"
"group_5775","","hypothetical protein","2","2","1","524","313","","","","521","521","521","GCF_000154045.1_ASM15404v1_01263","GCF_000182385.1_ASM18238v1_01132"
"rcsC_6","","Sensor histidine kinase RcsC","2","2","1","520","204","","","","3155","3155","3155","GCF_000154045.1_ASM15404v1_00961","GCF_000182385.1_ASM18238v1_01236"
"group_5777","","putative protein","2","2","1","521","309","","","","1193","1193","1193","GCF_000154045.1_ASM15404v1_00244","GCF_000182385.1_ASM18238v1_02911"
"katB","","Catalase","2","2","1","524","375","","","","1514","1514","1514","GCF_000154045.1_ASM15404v1_01203","GCF_000182385.1_ASM18238v1_01067"
"mdtA_7","","Multidrug resistance protein MdtA","2","2","1","523","435","","","","1073","1073","1073","GCF_000154045.1_ASM15404v1_05099","GCF_000182385.1_ASM18238v1_03578"
"group_578","","hypothetical protein","2","2","1","513","58","","","","320","806","563","GCF_000154045.1_ASM15404v1_02341","GCF_000182385.1_ASM18238v1_01452"
"gabR","","HTH-type transcriptional regulatory protein GabR","2","2","1","524","1199","","","","1436","1436","1436","GCF_000154045.1_ASM15404v1_01653","GCF_000182385.1_ASM18238v1_00271"
"lemA","","Protein LemA","2","2","1","523","338","","","","590","590","590","GCF_000154045.1_ASM15404v1_05195","GCF_000182385.1_ASM18238v1_03481"
"group_5782","","hypothetical protein","2","2","1","523","671","","","","758","758","758","GCF_000154045.1_ASM15404v1_04709","GCF_000182385.1_ASM18238v1_02491"
"group_5783","","hypothetical protein","2","2","1","524","523","","","","758","758","758","GCF_000154045.1_ASM15404v1_03249","GCF_000182385.1_ASM18238v1_00917"
"rluA","","Dual-specificity RNA pseudouridine synthase RluA","2","2","1","515","47","","","","752","752","752","GCF_000154045.1_ASM15404v1_02251","GCF_000182385.1_ASM18238v1_01587"
"yhhT","","AI-2 transport protein TqsA","2","2","1","521","327","","","","1028","1028","1028","GCF_000154045.1_ASM15404v1_00650","GCF_000182385.1_ASM18238v1_02923"
"group_5786","","1,4-dihydroxy-2-naphthoyl-CoA hydrolase","2","2","1","512","38","","","","446","446","446","GCF_000154045.1_ASM15404v1_02767","GCF_000182385.1_ASM18238v1_04529"
"group_5787","","hypothetical protein","2","2","1","523","341","","","","548","548","548","GCF_000154045.1_ASM15404v1_05192","GCF_000182385.1_ASM18238v1_03484"
"yidZ_4","","HTH-type transcriptional regulator YidZ","2","2","1","524","33","","","","968","968","968","GCF_000154045.1_ASM15404v1_03928","GCF_000182385.1_ASM18238v1_00599"
"cmpC","","Bicarbonate transport ATP-binding protein CmpC","2","2","1","524","1401","","","","1364","1364","1364","GCF_000154045.1_ASM15404v1_01824","GCF_000182385.1_ASM18238v1_00098"
"luxU","","Phosphorelay protein LuxU","2","2","1","513","30","","","","338","338","338","GCF_000154045.1_ASM15404v1_02369","GCF_000182385.1_ASM18238v1_01424"
"glpE_1","","Thiosulfate sulfurtransferase GlpE","2","2","1","524","839","","","","980","980","980","GCF_000154045.1_ASM15404v1_01295","GCF_000182385.1_ASM18238v1_00620"
"group_5791","","hypothetical protein","2","2","1","523","611","","","","242","242","242","GCF_000154045.1_ASM15404v1_03605","GCF_000182385.1_ASM18238v1_02509"
"group_5792","","hypothetical protein","2","2","1","524","1030","","","","485","485","485","GCF_000154045.1_ASM15404v1_01485","GCF_000182385.1_ASM18238v1_00428"
"rhaR_6","","HTH-type transcriptional activator RhaR","2","2","1","514","76","","","","914","914","914","GCF_000154045.1_ASM15404v1_03720","GCF_000182385.1_ASM18238v1_03726"
"cobT","","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","2","2","1","523","53","","","","1043","1043","1043","GCF_000154045.1_ASM15404v1_04940","GCF_000182385.1_ASM18238v1_02229"
